"2025 College Graduate Career Jobs — Hiring & Layoff Data (US) [CPI-Adjusted to 2025 USD, factor=1.0000]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2025,# Fired / Laid Off in 2025
1.0,Software Engineer,Technology,197764.0,10707.0,1543.0
2.0,Frontend Developer,Technology,152377.0,8309.0,414.0
3.0,Backend Developer,Technology,161165.0,8468.0,918.0
4.0,Full Stack Developer,Technology,168236.0,9574.0,699.0
5.0,Mobile App Developer (iOS),Technology,142923.0,7827.0,1454.0
6.0,Mobile App Developer (Android),Technology,140916.0,7728.0,1214.0
7.0,Data Scientist,Technology,152484.0,7999.0,1501.0
8.0,Data Engineer,Technology,159004.0,8853.0,479.0
9.0,Data Analyst,Technology,104457.0,5366.0,783.0
10.0,Machine Learning Engineer,Technology,186123.0,9169.0,466.0
11.0,AI Research Scientist,Technology,205858.0,7173.0,588.0
12.0,DevOps Engineer,Technology,159932.0,8680.0,970.0
13.0,Site Reliability Engineer,Technology,167927.0,7509.0,489.0
14.0,Cloud Architect,Technology,183766.0,7173.0,557.0
15.0,Cybersecurity Analyst,Technology,119644.0,6245.0,1163.0
16.0,Penetration Tester,Technology,124268.0,3783.0,462.0
17.0,Security Engineer,Technology,150757.0,6375.0,527.0
18.0,Network Engineer,Technology,106488.0,5365.0,653.0
19.0,Systems Administrator,Technology,94904.0,5051.0,823.0
20.0,IT Support Specialist,Technology,61373.0,3856.0,160.0
21.0,Database Administrator,Technology,110743.0,5024.0,1005.0
22.0,Blockchain Developer,Technology,157807.0,6199.0,1161.0
23.0,Game Developer,Technology,120032.0,7550.0,759.0
24.0,Embedded Systems Engineer,Technology,129795.0,4438.0,302.0
25.0,QA Engineer,Technology,96991.0,6844.0,1637.0
26.0,Product Manager (Tech),Technology,161131.0,7572.0,1003.0
27.0,Technical Program Manager,Technology,171929.0,7188.0,405.0
28.0,Solutions Architect,Technology,174540.0,5339.0,310.0
29.0,UX Designer,Technology,110341.0,7135.0,1651.0
30.0,UI Designer,Technology,105426.0,6515.0,1215.0
31.0,UX Researcher,Technology,111526.0,6072.0,1073.0
32.0,Product Designer,Technology,124521.0,7489.0,1356.0
33.0,Scrum Master,Technology,117009.0,5212.0,825.0
34.0,IT Project Manager,Technology,126612.0,5299.0,1165.0
35.0,ERP Consultant,Technology,115014.0,4303.0,528.0
36.0,Salesforce Developer,Technology,133487.0,6193.0,844.0
37.0,Business Intelligence Analyst,Technology,107270.0,4963.0,790.0
38.0,Cloud Engineer (AWS),Technology,153250.0,7565.0,1045.0
39.0,Cloud Engineer (Azure),Technology,153899.0,7296.0,1547.0
40.0,Cloud Engineer (GCP),Technology,147507.0,7257.0,1193.0
41.0,Platform Engineer,Technology,161955.0,6481.0,971.0
42.0,Hardware Engineer,Technology,127279.0,4187.0,210.0
43.0,Firmware Engineer,Technology,131232.0,3475.0,313.0
44.0,Robotics Engineer,Technology,142108.0,3375.0,309.0
45.0,Computer Vision Engineer,Technology,167466.0,5120.0,321.0
46.0,NLP Engineer,Technology,177686.0,4429.0,403.0
47.0,AR/VR Developer,Technology,133085.0,4018.0,239.0
48.0,Quantum Computing Researcher,Technology,193836.0,1076.0,95.0
49.0,IT Auditor,Technology,97525.0,3606.0,577.0
50.0,Technical Writer,Technology,85167.0,4682.0,508.0
51.0,Investment Banker,Finance,152778.0,5721.0,662.0
52.0,Financial Analyst,Finance,86021.0,7324.0,672.0
53.0,Portfolio Manager,Finance,172981.0,3622.0,371.0
54.0,Equity Research Analyst,Finance,118317.0,2933.0,588.0
55.0,Risk Analyst,Finance,94096.0,4034.0,608.0
56.0,Credit Analyst,Finance,80946.0,3816.0,587.0
57.0,Loan Officer,Finance,75094.0,5132.0,508.0
58.0,Financial Planner,Finance,90638.0,5698.0,1063.0
59.0,Wealth Manager,Finance,130825.0,3777.0,277.0
60.0,Actuary,Finance,121587.0,3042.0,390.0
61.0,Quantitative Analyst,Finance,173294.0,3963.0,950.0
62.0,Trader,Finance,150852.0,4221.0,622.0
63.0,Hedge Fund Analyst,Finance,152310.0,2514.0,362.0
64.0,Private Equity Analyst,Finance,140964.0,1932.0,355.0
65.0,Venture Capital Analyst,Finance,131861.0,1680.0,379.0
66.0,Corporate Finance Analyst,Finance,96105.0,5173.0,1040.0
67.0,Treasury Analyst,Finance,86336.0,3751.0,306.0
68.0,Tax Associate,Finance,81331.0,4519.0,243.0
69.0,Accountant (CPA),Finance,78330.0,6143.0,763.0
70.0,Auditor,Finance,76075.0,5531.0,478.0
71.0,Forensic Accountant,Finance,97221.0,2406.0,233.0
72.0,Controller,Finance,153241.0,2920.0,617.0
73.0,CFO,Finance,274310.0,1578.0,376.0
74.0,Compliance Officer,Finance,106549.0,4003.0,429.0
75.0,Underwriter,Finance,91426.0,3628.0,716.0
76.0,Insurance Agent,Finance,68022.0,7519.0,844.0
77.0,Claims Adjuster,Finance,63626.0,5125.0,1223.0
78.0,Mortgage Broker,Finance,85091.0,4497.0,661.0
79.0,Real Estate Analyst,Finance,92345.0,3803.0,394.0
80.0,Budget Analyst,Finance,80902.0,4544.0,482.0
81.0,Economic Consultant,Finance,117698.0,2640.0,371.0
82.0,Economist,Finance,111167.0,2387.0,203.0
83.0,Financial Examiner,Finance,89494.0,2936.0,524.0
84.0,Bookkeeper,Finance,49377.0,4150.0,816.0
85.0,Payroll Specialist,Finance,57358.0,3651.0,407.0
86.0,Physician (General Practice),Healthcare,258165.0,3122.0,191.0
87.0,Surgeon,Healthcare,411810.0,1890.0,337.0
88.0,Psychiatrist,Healthcare,288380.0,2507.0,233.0
89.0,Pediatrician,Healthcare,240867.0,2757.0,113.0
90.0,Cardiologist,Healthcare,462956.0,1310.0,50.0
91.0,Dermatologist,Healthcare,417479.0,1221.0,54.0
92.0,Neurologist,Healthcare,342523.0,1659.0,174.0
93.0,Radiologist,Healthcare,435919.0,1331.0,166.0
94.0,Anesthesiologist,Healthcare,424215.0,1587.0,119.0
95.0,Oncologist,Healthcare,379015.0,1686.0,78.0
96.0,Orthopedic Surgeon,Healthcare,510399.0,973.0,76.0
97.0,Emergency Medicine Physician,Healthcare,362627.0,2039.0,337.0
98.0,Nurse Practitioner,Healthcare,124598.0,17013.0,1692.0
99.0,Registered Nurse,Healthcare,86054.0,47835.0,7259.0
100.0,Physician Assistant,Healthcare,128985.0,10222.0,1456.0
101.0,Pharmacist,Healthcare,134781.0,6869.0,232.0
102.0,Physical Therapist,Healthcare,98163.0,9124.0,1057.0
103.0,Occupational Therapist,Healthcare,92677.0,7787.0,955.0
104.0,Speech-Language Pathologist,Healthcare,89581.0,6159.0,647.0
105.0,Dental Hygienist,Healthcare,80392.0,7823.0,549.0
106.0,Dentist,Healthcare,183718.0,4727.0,492.0
107.0,Optometrist,Healthcare,135132.0,4016.0,185.0
108.0,Chiropractor,Healthcare,85025.0,3700.0,317.0
109.0,Veterinarian,Healthcare,126670.0,3418.0,299.0
110.0,Radiologic Technologist,Healthcare,71953.0,7175.0,1022.0
111.0,Medical Laboratory Scientist,Healthcare,75493.0,6692.0,977.0
112.0,Clinical Social Worker,Healthcare,66047.0,9025.0,575.0
113.0,Respiratory Therapist,Healthcare,72050.0,5968.0,569.0
114.0,Dietitian / Nutritionist,Healthcare,68242.0,5672.0,333.0
115.0,Healthcare Administrator,Healthcare,108737.0,8836.0,1362.0
116.0,Medical Coder,Healthcare,54976.0,6856.0,903.0
117.0,Medical Transcriptionist,Healthcare,44692.0,3021.0,236.0
118.0,Genetic Counselor,Healthcare,93728.0,2484.0,275.0
119.0,Biomedical Engineer,Healthcare,103188.0,4186.0,492.0
120.0,Clinical Research Coordinator,Healthcare,65136.0,6061.0,331.0
121.0,Attorney (Corporate Law),Legal,196766.0,3862.0,742.0
122.0,Attorney (Criminal Defense),Legal,81514.0,3431.0,488.0
123.0,Attorney (Family Law),Legal,74823.0,4169.0,774.0
124.0,Attorney (Immigration),Legal,70773.0,3359.0,510.0
125.0,Attorney (Intellectual Property),Legal,190690.0,2822.0,127.0
126.0,Attorney (Real Estate),Legal,96000.0,3097.0,326.0
127.0,Attorney (Tax Law),Legal,153026.0,2271.0,119.0
128.0,Attorney (Environmental Law),Legal,92361.0,2169.0,412.0
129.0,Public Defender,Legal,61163.0,3131.0,545.0
130.0,Prosecutor / District Attorney,Legal,74706.0,2826.0,548.0
131.0,Judge,Legal,154719.0,1189.0,118.0
132.0,Paralegal,Legal,57269.0,6951.0,394.0
133.0,Legal Secretary,Legal,51204.0,5623.0,1124.0
134.0,Compliance Manager,Legal,125260.0,3644.0,812.0
135.0,Contract Manager,Legal,110517.0,3989.0,224.0
136.0,Legal Analyst,Legal,74340.0,3705.0,427.0
137.0,Patent Agent,Legal,111589.0,1990.0,110.0
138.0,Arbitrator / Mediator,Legal,93089.0,1688.0,275.0
139.0,Title Examiner,Legal,59982.0,2768.0,516.0
140.0,Court Reporter,Legal,63894.0,2118.0,149.0
141.0,Elementary School Teacher,Education,49628.0,25072.0,3690.0
142.0,Middle School Teacher,Education,52607.0,16504.0,2276.0
143.0,High School Teacher,Education,56473.0,21048.0,2128.0
144.0,Special Education Teacher,Education,59025.0,10594.0,2481.0
145.0,School Counselor,Education,63032.0,8431.0,919.0
146.0,School Psychologist,Education,82169.0,5156.0,410.0
147.0,Principal,Education,103891.0,4032.0,574.0
148.0,University Professor,Education,114015.0,7343.0,1455.0
149.0,College Lecturer,Education,66313.0,6785.0,503.0
150.0,Academic Advisor,Education,53030.0,6633.0,632.0
151.0,Curriculum Developer,Education,73770.0,4335.0,1001.0
152.0,Instructional Designer,Education,78959.0,5322.0,920.0
153.0,ESL Teacher,Education,49659.0,8535.0,1020.0
154.0,Librarian,Education,58851.0,4233.0,586.0
155.0,Education Administrator,Education,85103.0,4814.0,320.0
156.0,Tutoring Center Director,Education,64163.0,3438.0,287.0
157.0,Corporate Trainer,Education,72799.0,5525.0,506.0
158.0,E-Learning Developer,Education,89239.0,3943.0,597.0
159.0,Museum Educator,Education,49201.0,3136.0,326.0
160.0,Early Childhood Educator,Education,39365.0,14194.0,1307.0
161.0,Marketing Manager,Marketing,116404.0,8184.0,639.0
162.0,Digital Marketing Specialist,Marketing,74250.0,10407.0,1930.0
163.0,SEO Specialist,Marketing,70840.0,9399.0,941.0
164.0,Content Marketing Manager,Marketing,85452.0,8073.0,2013.0
165.0,Social Media Manager,Marketing,63420.0,11992.0,2951.0
166.0,Brand Manager,Marketing,101235.0,6595.0,490.0
167.0,Advertising Manager,Marketing,107198.0,5312.0,542.0
168.0,Market Research Analyst,Marketing,69473.0,6771.0,1300.0
169.0,Public Relations Specialist,Marketing,65575.0,6244.0,535.0
170.0,Communications Director,Marketing,132310.0,4013.0,319.0
171.0,Copywriter,Marketing,67299.0,7673.0,2038.0
172.0,Content Strategist,Marketing,81368.0,5898.0,971.0
173.0,Growth Hacker,Marketing,92310.0,4942.0,914.0
174.0,Email Marketing Specialist,Marketing,64409.0,6445.0,1631.0
175.0,Influencer Marketing Manager,Marketing,74111.0,4908.0,1019.0
176.0,Event Planner,Marketing,54466.0,7857.0,651.0
177.0,Media Buyer,Marketing,71620.0,4515.0,285.0
178.0,Product Marketing Manager,Marketing,121164.0,6735.0,1081.0
179.0,Creative Director,Marketing,150336.0,3739.0,519.0
180.0,Graphic Designer,Marketing,60793.0,8862.0,1518.0
181.0,Video Producer,Marketing,73702.0,7275.0,1250.0
182.0,Podcast Producer,Marketing,56936.0,4305.0,713.0
183.0,Photojournalist,Marketing,49477.0,3017.0,772.0
184.0,Animator,Marketing,74825.0,5341.0,394.0
185.0,Motion Graphics Designer,Marketing,81135.0,4861.0,677.0
186.0,Biologist,Science,86461.0,4297.0,376.0
187.0,Chemist,Science,80680.0,4372.0,793.0
188.0,Physicist,Science,104382.0,2784.0,192.0
189.0,Environmental Scientist,Science,74920.0,5503.0,380.0
190.0,Geologist,Science,92653.0,3673.0,378.0
191.0,Astronomer,Science,117111.0,1271.0,106.0
192.0,Marine Biologist,Science,71428.0,2036.0,166.0
193.0,Ecologist,Science,67272.0,3274.0,247.0
194.0,Neuroscientist,Science,97352.0,2494.0,436.0
195.0,Epidemiologist,Science,90869.0,3242.0,342.0
196.0,Forensic Scientist,Science,72199.0,4031.0,564.0
197.0,Microbiologist,Science,81735.0,3228.0,434.0
198.0,Biochemist,Science,86978.0,4037.0,179.0
199.0,Agricultural Scientist,Science,68824.0,3594.0,632.0
200.0,Food Scientist,Science,74192.0,3898.0,660.0
201.0,Materials Scientist,Science,95004.0,3052.0,504.0
202.0,Nanotechnologist,Science,105658.0,1866.0,288.0
203.0,Toxicologist,Science,80506.0,2579.0,466.0
204.0,Clinical Psychologist,Science,97621.0,5448.0,316.0
205.0,Research Psychologist,Science,85400.0,3587.0,366.0
206.0,Sociologist,Science,76094.0,2769.0,182.0
207.0,Anthropologist,Science,69007.0,2078.0,226.0
208.0,Archaeologist,Science,64676.0,2527.0,129.0
209.0,Political Scientist,Science,115596.0,2254.0,190.0
210.0,Statistician,Science,107750.0,4487.0,745.0
211.0,Biostatistician,Science,112235.0,2952.0,232.0
212.0,Computational Biologist,Science,117416.0,2369.0,342.0
213.0,Pharmacologist,Science,104843.0,2755.0,316.0
214.0,Immunologist,Science,106532.0,2139.0,209.0
215.0,Virologist,Science,98243.0,2350.0,456.0
216.0,Mechanical Engineer,Engineering,101645.0,7432.0,1383.0
217.0,Electrical Engineer,Engineering,111556.0,7136.0,745.0
218.0,Civil Engineer,Engineering,95231.0,8156.0,1072.0
219.0,Chemical Engineer,Engineering,118847.0,5282.0,298.0
220.0,Aerospace Engineer,Engineering,133076.0,3834.0,272.0
221.0,Nuclear Engineer,Engineering,124221.0,1890.0,326.0
222.0,Industrial Engineer,Engineering,99326.0,5801.0,715.0
223.0,Structural Engineer,Engineering,103996.0,5569.0,590.0
224.0,Environmental Engineer,Engineering,91454.0,4735.0,684.0
225.0,Materials Engineer,Engineering,103022.0,3620.0,198.0
226.0,Petroleum Engineer,Engineering,153912.0,2806.0,309.0
227.0,Mining Engineer,Engineering,119681.0,2401.0,298.0
228.0,Biomedical Engineer (Device),Engineering,105587.0,3431.0,519.0
229.0,Agricultural Engineer,Engineering,85179.0,2912.0,177.0
230.0,Marine Engineer,Engineering,109150.0,2298.0,412.0
231.0,Geotechnical Engineer,Engineering,95728.0,3237.0,145.0
232.0,Transportation Engineer,Engineering,90780.0,4036.0,266.0
233.0,Water Resources Engineer,Engineering,90390.0,3861.0,493.0
234.0,Acoustical Engineer,Engineering,98145.0,1925.0,247.0
235.0,Optical Engineer,Engineering,112026.0,2138.0,169.0
236.0,Manufacturing Engineer,Engineering,94150.0,5856.0,297.0
237.0,Quality Engineer,Engineering,85311.0,5509.0,764.0
238.0,Process Engineer,Engineering,97581.0,4698.0,369.0
239.0,Safety Engineer,Engineering,92449.0,4037.0,464.0
240.0,Packaging Engineer,Engineering,80632.0,3523.0,390.0
241.0,Architectural Engineer,Engineering,90347.0,3303.0,288.0
242.0,Management Consultant,Business,149128.0,7625.0,1086.0
243.0,Business Analyst,Business,91769.0,8885.0,1110.0
244.0,Operations Manager,Business,104140.0,8292.0,1542.0
245.0,Supply Chain Manager,Business,116089.0,6231.0,602.0
246.0,Logistics Coordinator,Business,64624.0,6559.0,1049.0
247.0,Procurement Manager,Business,109545.0,5128.0,427.0
248.0,Human Resources Manager,Business,102161.0,7553.0,962.0
249.0,Recruiter,Business,63271.0,11614.0,1927.0
250.0,Talent Acquisition Specialist,Business,75311.0,9008.0,859.0
251.0,Training & Development Manager,Business,91299.0,5123.0,562.0
252.0,Compensation Analyst,Business,80422.0,4861.0,758.0
253.0,Benefits Administrator,Business,64385.0,4475.0,245.0
254.0,CEO,Business,407371.0,1147.0,131.0
255.0,COO,Business,302869.0,1423.0,280.0
256.0,CMO,Business,254051.0,1561.0,328.0
257.0,Strategy Consultant,Business,168714.0,4733.0,307.0
258.0,Change Management Consultant,Business,150571.0,3865.0,280.0
259.0,Account Manager,Business,74962.0,10028.0,962.0
260.0,Sales Representative,Business,65572.0,16784.0,3905.0
261.0,Sales Manager,Business,107225.0,8215.0,1369.0
262.0,Business Development Manager,Business,114461.0,6535.0,1161.0
263.0,Entrepreneur / Startup Founder,Business,70972.0,4932.0,614.0
264.0,Franchise Owner,Business,86564.0,4563.0,349.0
265.0,Retail Manager,Business,53330.0,9573.0,1914.0
266.0,Store Manager,Business,57702.0,8630.0,1296.0
267.0,E-commerce Manager,Business,87074.0,6233.0,915.0
268.0,Customer Success Manager,Business,79748.0,8219.0,1879.0
269.0,Customer Service Representative,Business,43551.0,20621.0,3253.0
270.0,Office Manager,Business,59844.0,7810.0,404.0
271.0,Executive Assistant,Business,66893.0,6534.0,1118.0
272.0,Architect,Architecture,91265.0,4494.0,366.0
273.0,Urban Planner,Architecture,80081.0,3333.0,468.0
274.0,Landscape Architect,Architecture,74199.0,3245.0,515.0
275.0,Interior Designer,Architecture,60275.0,6073.0,370.0
276.0,Industrial Designer,Architecture,73740.0,4150.0,264.0
