"2022 College Graduate Career Jobs — Hiring & Layoff Data (US) [CPI-Adjusted to 2025 USD, factor=1.0998]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2022,# Fired / Laid Off in 2022
1.0,Software Engineer,Technology,201604.86,13883.0,2625.0
2.0,Frontend Developer,Technology,162527.06,10848.0,722.0
3.0,Backend Developer,Technology,169954.84,12568.0,894.0
4.0,Full Stack Developer,Technology,176935.02,11115.0,1156.0
5.0,Mobile App Developer (iOS),Technology,149191.36,11342.0,1990.0
6.0,Mobile App Developer (Android),Technology,151119.24,9387.0,2037.0
7.0,Data Scientist,Technology,158864.85,10856.0,2328.0
8.0,Data Engineer,Technology,159383.94,11351.0,765.0
9.0,Data Analyst,Technology,110961.47,6477.0,877.0
10.0,Machine Learning Engineer,Technology,191968.75,10939.0,652.0
11.0,AI Research Scientist,Technology,217032.3,8025.0,863.0
12.0,DevOps Engineer,Technology,173035.27,11136.0,2453.0
13.0,Site Reliability Engineer,Technology,181014.04,9434.0,785.0
14.0,Cloud Architect,Technology,194982.1,8566.0,681.0
15.0,Cybersecurity Analyst,Technology,119407.63,8140.0,1158.0
16.0,Penetration Tester,Technology,132228.65,4243.0,558.0
17.0,Security Engineer,Technology,158038.93,7466.0,890.0
18.0,Network Engineer,Technology,114089.19,6235.0,1113.0
19.0,Systems Administrator,Technology,99108.25,5364.0,1347.0
20.0,IT Support Specialist,Technology,64033.58,4411.0,260.0
21.0,Database Administrator,Technology,116771.51,7178.0,1450.0
22.0,Blockchain Developer,Technology,169065.14,8359.0,1324.0
23.0,Game Developer,Technology,124894.34,9931.0,1332.0
24.0,Embedded Systems Engineer,Technology,132238.54,4889.0,585.0
25.0,QA Engineer,Technology,101946.73,7803.0,1474.0
26.0,Product Manager (Tech),Technology,175823.17,9796.0,991.0
27.0,Technical Program Manager,Technology,174880.67,7172.0,561.0
28.0,Solutions Architect,Technology,183910.81,6746.0,562.0
29.0,UX Designer,Technology,116472.37,9063.0,1914.0
30.0,UI Designer,Technology,110517.17,8188.0,1453.0
31.0,UX Researcher,Technology,120257.75,6647.0,1828.0
32.0,Product Designer,Technology,129329.68,7370.0,2706.0
33.0,Scrum Master,Technology,123783.58,7521.0,904.0
34.0,IT Project Manager,Technology,129535.33,5853.0,1626.0
35.0,ERP Consultant,Technology,117067.34,4770.0,900.0
36.0,Salesforce Developer,Technology,145580.84,8033.0,1750.0
37.0,Business Intelligence Analyst,Technology,110376.4,4982.0,1678.0
38.0,Cloud Engineer (AWS),Technology,164115.11,10448.0,1660.0
39.0,Cloud Engineer (Azure),Technology,157545.14,8936.0,1944.0
40.0,Cloud Engineer (GCP),Technology,151484.36,7652.0,1509.0
41.0,Platform Engineer,Technology,168537.25,7372.0,2814.0
42.0,Hardware Engineer,Technology,130581.2,5203.0,422.0
43.0,Firmware Engineer,Technology,133274.52,4878.0,501.0
44.0,Robotics Engineer,Technology,146746.59,4202.0,302.0
45.0,Computer Vision Engineer,Technology,175778.08,6520.0,615.0
